IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
162.159.212.104,443,443,TRUE,US CM-San Francisco 162.159.212.104,North America,San Francisco,100,8
162.159.213.147,443,443,TRUE,US CM-San Francisco 162.159.213.147,North America,San Francisco,100,8
172.64.96.246,443,443,TRUE,US CM-San Francisco 172.64.96.246,North America,San Francisco,100,8
172.64.98.44,443,443,TRUE,US CM-San Francisco 172.64.98.44,North America,San Francisco,100,8
104.16.16.134,443,443,TRUE,US CM-San Jose 104.16.16.134,North America,San Jose,100,8
104.16.19.237,443,443,TRUE,US CM-San Jose 104.16.19.237,North America,San Jose,100,8
104.16.17.0,443,443,TRUE,US CM-San Jose 104.16.17.0,North America,San Jose,100,8
104.16.22.62,443,443,TRUE,US CM-San Jose 104.16.22.62,North America,San Jose,100,8
104.16.18.32,443,443,TRUE,US CM-San Jose 104.16.18.32,North America,San Jose,100,8
104.16.25.120,443,443,TRUE,US CM-San Jose 104.16.25.120,North America,San Jose,100,8
104.16.23.246,443,443,TRUE,US CM-San Jose 104.16.23.246,North America,San Jose,100,8
104.16.26.145,443,443,TRUE,US CM-San Jose 104.16.26.145,North America,San Jose,100,8
104.16.20.199,443,443,TRUE,US CM-San Jose 104.16.20.199,North America,San Jose,100,8
104.16.21.1,443,443,TRUE,US CM-San Jose 104.16.21.1,North America,San Jose,100,8
104.16.24.195,443,443,TRUE,US CM-San Jose 104.16.24.195,North America,San Jose,100,8
104.16.29.247,443,443,TRUE,US CM-San Jose 104.16.29.247,North America,San Jose,100,8
104.16.27.93,443,443,TRUE,US CM-San Jose 104.16.27.93,North America,San Jose,100,8
104.16.28.194,443,443,TRUE,US CM-San Jose 104.16.28.194,North America,San Jose,100,8
104.16.31.244,443,443,TRUE,US CM-San Jose 104.16.31.244,North America,San Jose,100,8
104.16.30.207,443,443,TRUE,US CM-San Jose 104.16.30.207,North America,San Jose,100,8
104.16.80.246,443,443,TRUE,US CM-San Jose 104.16.80.246,North America,San Jose,100,8
104.16.119.70,443,443,TRUE,US CM-San Jose 104.16.119.70,North America,San Jose,100,8
104.16.89.134,443,443,TRUE,US CM-San Jose 104.16.89.134,North America,San Jose,100,8
104.16.93.150,443,443,TRUE,US CM-San Jose 104.16.93.150,North America,San Jose,100,8
104.16.84.214,443,443,TRUE,US CM-San Jose 104.16.84.214,North America,San Jose,100,8
104.16.70.101,443,443,TRUE,US CM-San Jose 104.16.70.101,North America,San Jose,100,8
104.16.90.114,443,443,TRUE,US CM-San Jose 104.16.90.114,North America,San Jose,100,8
104.16.66.83,443,443,TRUE,US CM-San Jose 104.16.66.83,North America,San Jose,100,8
104.16.76.14,443,443,TRUE,US CM-San Jose 104.16.76.14,North America,San Jose,100,8
104.16.65.223,443,443,TRUE,US CM-San Jose 104.16.65.223,North America,San Jose,100,8
104.16.116.22,443,443,TRUE,US CM-San Jose 104.16.116.22,North America,San Jose,100,8
104.16.81.155,443,443,TRUE,US CM-San Jose 104.16.81.155,North America,San Jose,100,8
104.16.92.93,443,443,TRUE,US CM-San Jose 104.16.92.93,North America,San Jose,100,8
104.16.115.232,443,443,TRUE,US CM-San Jose 104.16.115.232,North America,San Jose,100,8
104.16.113.142,443,443,TRUE,US CM-San Jose 104.16.113.142,North America,San Jose,100,8
104.16.68.146,443,443,TRUE,US CM-San Jose 104.16.68.146,North America,San Jose,100,8
104.16.94.122,443,443,TRUE,US CM-San Jose 104.16.94.122,North America,San Jose,100,8
104.16.69.156,443,443,TRUE,US CM-San Jose 104.16.69.156,North America,San Jose,100,8
104.16.82.68,443,443,TRUE,US CM-San Jose 104.16.82.68,North America,San Jose,100,8
104.16.86.44,443,443,TRUE,US CM-San Jose 104.16.86.44,North America,San Jose,100,8
104.16.85.139,443,443,TRUE,US CM-San Jose 104.16.85.139,North America,San Jose,100,8
104.16.122.56,443,443,TRUE,US CM-San Jose 104.16.122.56,North America,San Jose,100,8
104.16.83.165,443,443,TRUE,US CM-San Jose 104.16.83.165,North America,San Jose,100,8
104.16.121.157,443,443,TRUE,US CM-San Jose 104.16.121.157,North America,San Jose,100,8
104.16.72.157,443,443,TRUE,US CM-San Jose 104.16.72.157,North America,San Jose,100,8
104.16.120.53,443,443,TRUE,US CM-San Jose 104.16.120.53,North America,San Jose,100,8
104.16.112.106,443,443,TRUE,US CM-San Jose 104.16.112.106,North America,San Jose,100,8
